# =========================================================================
# 口语化 / 不规范用词词库（正式公文应避免）
# -------------------------------------------------------------------------
# 格式：  口语词[|建议书面表达]
#   - 每行一条，[|] 及之后为可选的建议书面表达
#   - 以 # 开头的行是注释，不会被检测
#   - 用户可随时增删本文件中的词条；保存后下一次检测即生效
# 匹配方式：在文档文本中做子串匹配（本地正则，零联网）
# 注意：本类仅为【疑似】提示，是否需修改由人工判断。
# =========================================================================

搞定|完成 / 解决
立马|立即
秒回|立即回复
事儿|事情
甭|不必
咋|怎么
啥|什么
挺多|较多
贼|非常（建议用规范程度副词）
溜达|步行 / 巡查
打的|乘坐出租车
揣摩|分析 / 研判
脑瓜|头脑
家伙|设备 / 物品（视语境）
捅娄子|引发问题 / 造成失误
扯皮|相互推诿
忽悠|误导 / 欺骗（视语境）
靠谱|可靠
压根|根本
现如今|当前 / 如今
蛮|相当（建议用规范程度副词）
老外|外籍人员（视语境）
够呛|难以 / 困难
寻思|考虑
嘀咕|议论 / 低声说
