# =========================================================================
# 易混淆近义词词库（出现即疑似误用，供人工核对）
# -------------------------------------------------------------------------
# 格式：  词A|词B|辨析说明
#   - 每行一组近义词，[|] 分隔；辨析说明供人工判断用哪个
#   - 以 # 开头的行是注释，不会被检测
#   - 用户可随时增删词条
# 匹配方式：文档中出现“词A”或“词B”任一，即提示该组辨析（同一组只报一次）
# 本类仅为【疑似】提示，不判定哪一个是错的，由人工核对。
# =========================================================================

制定|制订|制定：多用于法律、规章、规程等；制订：多用于计划、方案、办法等
权利|权力|权利：公民/法人依法享有的权益；权力：政治上的强制力量或职责范围内的支配力
必须|必需|必须：副词，表事理上必要；必需：动词，表不可缺少
截止|截至|截止：到某时停止（不及物，常＋“到”）；截至：截止到某时（及物）
学历|学力|学历：学习经历；学力：学问上的能力
变换|变幻|变换：事物形式/内容更换；变幻：不规则地改变
反应|反映|反应：机体/事物引起的活动；反映：把情况/意见告诉上级
熔化|融化|溶化|熔化：固体加热变液；融化：冰/雪变水；溶化：固体溶于水
度过|渡过|度过：时间；渡过：江河/困难时期
检查|检察|检查：查看；检察：法律监督
启示|启事|启示：启发；启事：公开声明的文字
需要|须要|需要：欲望/要求；须要：必须
推脱|推托|推脱：推卸责任；推托：借故拒绝
盈利|营利|赢利|盈利：利润；营利：谋求利润；赢利：获利
必需|必须|（见上，双向登记）二者易混，请按“副词/动词”区分
收集|搜集|收集：收拢聚集；搜集：搜寻聚集（费力寻找）
苍茫|苍莽|苍茫：多形容夜色/水域广阔；苍莽：多形容草木/原野
中止|终止|中止：中途停止（可恢复）；终止：结束（不再继续）
窜改|篡改|窜改：改动文字；篡改：用作伪手段改历史/文件
定金|订金|定金：担保性质，违约不退；订金：预付款性质
